project,name,statement_density,control_density,difference,match_distance
ten-proofs,lastRowClear_mem,0.6167888,0.7609063,-0.14411747,0.018093816439099103
ten-proofs,transvection_smul_same,0.71841323,0.8601273,-0.14171404,0.0
ten-proofs,coordinateRotation_smul_right,0.70954186,0.6744278,0.03511405,0.07091006665346662
ten-proofs,third_column_reduce,0.6087025,0.73156357,-0.12286109,0.18566891958644732
ten-proofs,suslinAwayToProduct_algebraMap,0.7453914,0.7084092,0.03698224,0.009377616038700212
ten-proofs,suslin_exists_away_finite_eq_of_localization_eq,0.66212475,0.7391549,-0.07703012,0.09749578230993039
ten-proofs,suslin_exists_away_elementary_of_atPrime,0.6171973,0.73156357,-0.11436629,0.7565585073919358
ten-proofs,suslin_reverse_telescope,0.7093343,0.7300485,-0.020714164,0.012639411442614011
ten-proofs,subgroup_mem_of_powered_partition_patches,0.64042616,0.67288464,-0.032458484,0.03424613392713719
ten-proofs,suslinPolynomialDilate_zero_of_mem_augmentation,0.6345185,0.7392121,-0.10469359,0.0
ten-proofs,relativeZ_mem,0.7049978,0.6897185,0.015279293,0.08228494906082309
ten-proofs,suslinSymbolicLift_eval,0.6635564,0.6996295,-0.03607309,0.0
ten-proofs,cornulierRoot_mem_K₂,0.64816034,0.6687957,-0.020635366,0.02966429933671545
ten-proofs,cornulierK₁_sup_cornulierK₂_eq_top,0.73437977,0.6769067,0.057473063,0.02742542284235196
ten-proofs,suslin_integer_atPrime_isDiscreteValuationRing,0.6679089,0.64181954,0.02608937,0.0
ten-proofs,minkowski_prime_three_matrix,0.6854463,0.69838417,-0.012937844,0.01621042685139955
ten-proofs,scaled_transvection_conjugates_injective,0.7060261,0.6799335,0.026092589,0.011152414944497705
ten-proofs,actingGroup_conjugacyClass_infinite,0.6314622,0.7534417,-0.121979475,0.0
ten-proofs,tensorFunctional_tmul,0.745212,0.7815937,-0.036381662,0.0
ten-proofs,tensorFunctional_smul_left,0.7630826,0.7671587,-0.0040760636,0.0
ten-proofs,shift_zero,0.85683644,0.8040535,0.052782953,0.0
ten-proofs,shiftedCarry_add_right,0.7640843,0.7052027,0.05888158,0.0
ten-proofs,zero_linear,0.78526765,0.7934558,-0.0081881285,0.0
ten-proofs,zero_add',0.7791864,0.81725854,-0.03807211,0.0
ten-proofs,two_nsmul_linear,0.76745856,0.8019434,-0.034484863,0.0
ten-proofs,four_nsmul_eq_zero,0.7859238,0.7455262,0.040397584,0.033803659573950276
ten-proofs,binaryRootsEquiv_val,0.703519,0.7554377,-0.051918685,0.01458394981376095
ten-proofs,carry_add_right,0.7586274,0.81834805,-0.059720635,0.0
ten-proofs,pointEquiv_apply,0.72514033,0.72497696,0.00016337633,0.0
ten-proofs,card,0.7943007,0.71084607,0.08345461,0.0
ten-proofs,fourthRootCharacter_injective,0.7918031,0.69995975,0.09184337,0.0
ten-proofs,pontryaginDual_one_apply,0.76368386,0.7432643,0.020419538,0.01658025000008317
ten-proofs,shiftKernel_card,0.7605454,0.8334516,-0.072906256,0.0
ten-proofs,carryPullback_quadratic,0.68590176,0.7448096,-0.058907866,0.018555791728005873
ten-proofs,continuous_carryPullback,0.68921053,0.78110886,-0.09189832,0.0
ten-proofs,shiftVectorLeftInverse_shiftVector,0.7869867,0.71023035,0.07675636,0.0
ten-proofs,kernelProjectionContinuous_apply,0.7132841,0.7594799,-0.046195805,0.0
ten-proofs,kernelProjection_shiftKernelInclusion,0.7400793,0.64181954,0.09825975,0.0
ten-proofs,carry_self_eq_evaluate_d,0.6892452,0.6886752,0.0005699992,0.0
ten-proofs,continuous_linearSection,0.7360097,0.7302934,0.005716324,0.028878466793395747
ten-proofs,linearSection_add,0.7243179,0.77156246,-0.04724455,0.01221455501546055
ten-proofs,sigma_characterization,0.65492946,0.7300485,-0.07511902,0.0
ten-proofs,sigma_surjective,0.7584384,0.71330774,0.04513067,0.0
ten-proofs,productHaar_eq_normalizedAddHaar,0.73211896,0.78015906,-0.048040092,0.0
ten-proofs,productHaar_preserving_addEquiv,0.68813896,0.68278456,0.0053544044,0.01271311105111061
ten-proofs,carryCharacterL2_span_closure_eq_top,0.7020291,0.7481707,-0.046141565,0.0
ten-proofs,carryFourierEquiv_single,0.67769253,0.74394923,-0.0662567,0.0
ten-proofs,continuous_carryBidualEvaluation,0.70962876,0.76638585,-0.056757092,0.0
ten-proofs,carryBidualEvaluation_injective,0.7611839,0.72964776,0.031536162,0.021912670555630457
ten-proofs,splitFourierBasis_coe,0.71882993,0.72497696,-0.006147027,0.0
ten-proofs,paperInvariantCard_injective,0.7515813,0.8024804,-0.05089909,0.0
ten-proofs,kYLinear_shiftedCarry,0.7081161,0.6765987,0.031517386,0.0
ten-proofs,kCarryAddAut_symm_apply,0.7438078,0.7432643,0.00054347515,0.049367219246521724
ten-proofs,crossedIndexEquiv_apply,0.71897113,0.69533765,0.02363348,0.011209754090784816
ten-proofs,crossedBaseHaarEquiv_apply,0.6616751,0.7357214,-0.074046314,0.03328755296298499
ten-proofs,crossedGroupUnitary_apply,0.67236054,0.68520486,-0.012844324,0.0
ten-proofs,crossedHaarHilbertEquiv_apply,0.6518899,0.7034337,-0.051543772,0.008566975139525377
ten-proofs,continuous_complexUnitBallClip,0.6901522,0.7705827,-0.08043045,0.0
ten-proofs,unitMultiplier_coeFn,0.6975991,0.72295064,-0.025351524,0.0
ten-proofs,continuous_sub_unit_multiplier_on_continuous_norm_le,0.6616899,0.66830903,-0.0066191554,0.13411588884645606
ten-proofs,clipContinuousMap_norm_le,0.70543087,0.7021345,0.0032963753,0.07391529437645948
ten-proofs,exists_continuous_multiplier_approx_pair,0.6350016,0.78287,-0.1478684,0.0
ten-proofs,commute_continuousMultiplier_of_commute_characters,0.6534591,0.68325526,-0.029796183,0.07554524549363678
ten-proofs,clip_eq_self_of_norm_le,0.7345803,0.68232316,0.05225712,0.0
ten-proofs,normalizedVector_sub_unit_norm_le,0.7353378,0.7018777,0.03346008,0.0
ten-proofs,quotientFixedOrthogonalRepresentation_apply,0.6678866,0.6897185,-0.02183187,0.7029808122598098
ten-proofs,quotientProjection_error_lt_of_spectralGap,0.6250117,0.6897185,-0.0647068,1.3474265054700085
ten-proofs,measure_energy,0.632608,0.6824778,-0.049869776,0.007690633610103583
ten-proofs,trivialCharacterProjection_kernel_fixed,0.6415745,0.6897185,-0.048143983,0.4732640840992447
ten-proofs,character_sub_norm_sq,0.69907343,0.6586042,0.04046923,0.03474643048000703
ten-proofs,spectralFiniteAverageTest_apply,0.6426596,0.73370856,-0.091048956,0.03254228125248472
ten-proofs,weighted_norm_sq_eq_sub_pairwise_dist_sq_of_constant_norm,0.71162176,0.66830903,0.04331273,0.15261918831198967
ten-proofs,spectralKernelOperator_coe,0.6424055,0.6897185,-0.047312975,0.1519982814181201
ten-proofs,rieszMeasure_dualCharacterAction,0.6259095,0.69431835,-0.06840885,0.08780887491365408
ten-proofs,positiveVectorState_unitary_pullback,0.6298468,0.7084092,-0.07856238,0.018877108119101732
ten-proofs,quotientOperatorConjugation_kernel,0.64967,0.6897185,-0.04004848,0.3392374479788539
ten-proofs,spectralCharacter_quotientConjugation,0.6056675,0.6897185,-0.08405101,0.6050958889128479
ten-proofs,jointFunctionalCalculus_quotient_covariance,0.56329006,0.6573954,-0.09410536,0.0
ten-proofs,kernelUnitary_preserves_closedConvexHull,0.6475523,0.6897185,-0.042166173,0.029563739303128136
ten-proofs,exists_kernel_fixed_mem_closedConvexHull,0.66601837,0.6586042,0.007414162,0.07621215249547804
ten-proofs,kernelOrbitAffineApproximation,0.6474622,0.6586042,-0.011142015,0.08792692956716576
ten-proofs,spectralDetection_integrable,0.6357728,0.7703868,-0.13461399,0.0
ten-proofs,actionPreKernelTranslation_mul_apply,0.687858,0.70292634,-0.015068352,0.05096073920019887
ten-proofs,ofKernel_kerFun_one_eq_coe_single,0.66224355,0.70396566,-0.04172212,0.034885422120497896
ten-proofs,tendsto_norm_finsupp_sum_of_gram,0.6555879,0.67841804,-0.022830129,0.36422674580778513
ten-proofs,ultrafilter_eventually_exists_finset,0.7001401,0.6673581,0.03278202,0.010164551593375608
ten-proofs,markedAffinePairDisplacement_finsupp_action,0.62197685,0.6658265,-0.043849647,0.756185619067788
ten-proofs,affineUniformGeneratorDisplacement_marked_limit,0.5998166,0.67841804,-0.07860142,2.258983331038445
ten-proofs,hilbertSquaredEnclosingRadii_bddBelow,0.69261205,0.7325905,-0.039978445,0.02047237922076352
ten-proofs,affineOrthogonalAction_apply_coe,0.6717738,0.8159501,-0.1441763,0.0
ten-proofs,diagonalDisplacement_apply,0.68712133,0.5826122,0.104509115,0.03914454099898225
ten-proofs,mul_rowShear_last,0.6890223,0.70292634,-0.013904035,0.00737832300706476
ten-proofs,gaussianSymmetricGram_posSemidef,0.6557144,0.67113173,-0.015417337,0.0
ten-proofs,gaussianKernel_posSemidef,0.6668504,0.7008221,-0.033971727,0.0
ten-proofs,mem_sup_of_elementwise_commute,0.7218937,0.7451364,-0.023242652,0.01221455501546055
ten-proofs,HasUniformRelativeKazhdanDisplacement.sup_of_elementwise_commute,0.66579574,0.6695756,-0.0037798285,0.07929209702211887
ten-proofs,rankTwoColumnBlock_zero,0.7633358,0.7570619,0.0062739253,0.0
ten-proofs,cornulierColumnPlane01_root_one,0.64538974,0.72230065,-0.07691091,0.017100419957897857
ten-proofs,cornulierRowPlane12_root_two,0.6356692,0.67113173,-0.03546256,0.01779840388287749
ten-proofs,cornulierK₁_hasUniformRelativeKazhdanDisplacement,0.6284907,0.6354933,-0.007002592,0.022248074351051195
ten-proofs,affine_displacement_le_of_generatorWord,0.6460973,0.7194784,-0.073381126,0.009180191953536497
ten-proofs,affine_oppositeGenerator_displacement_left,0.6452259,0.6586042,-0.013378322,0.01730399851057765
ten-proofs,cornulierNormalizedDistanceSpectrum_bddBelow,0.6273638,0.7497063,-0.12234253,0.06039977290765407
ten-proofs,cornulierNormalizedDistanceInfimum_le,0.6613858,0.6663335,-0.004947722,0.01929474864673583
ten-proofs,exists_generator_eq_max,0.65759146,0.67333496,-0.015743494,0.0
ten-proofs,affineOrthogonalAction_isMinimizingAffinePair,0.61745846,0.6897185,-0.07226002,1.4742457700008134
ten-proofs,cornulier_theorem7,0.5850369,0.6897185,-0.10468161,2.3657322488964208
ten-proofs,shalom_normalized_restriction_variation_bound,0.6342352,0.7528468,-0.118611574,0.02777480067626155
ten-proofs,shalom_conditioned_variation_lt_one_fourth,0.6390755,0.7064653,-0.067389786,0.09831658281950864
ten-proofs,measurable_spectralArgCoordinates,0.65340257,0.6803171,-0.026914537,0.0657424389907718
ten-proofs,spectralArg_add_of_window,0.6258568,0.7540418,-0.12818497,0.04827412776549921
ten-proofs,spectralArgCoordinates_tpos,0.6015363,0.6897185,-0.08818221,0.07467484580996969
ten-proofs,integerDual_spectralArgCoordinates_origin_preimage,0.6100014,0.6700131,-0.060011744,0.009887964194076145
ten-proofs,abs_regular_measureReal_sub_le_of_testFunctions,0.7039794,0.78287,-0.07889062,0.012352964307228528
ten-proofs,trivialCharacterProjection_ne_zero_of_joint_atom_pos,0.60360545,0.73156357,-0.12795812,0.35675998382570373
ten-proofs,shalomSectorC_measurable,0.7136582,0.7640618,-0.050403595,0.1983450737108824
ten-proofs,shalomTneg_sector_inclusion,0.6631544,0.76106596,-0.09791154,0.0
ten-proofs,spectralArgCoordinates_dualCharacterAction_tpos,0.5715191,0.75878423,-0.18726516,0.3934044156163133
ten-proofs,spectralArgCoordinates_dualCharacterAction_spos,0.57470244,0.6897185,-0.11501604,0.7761869531521043
ten-proofs,spectralArgCoordinates_dualCharacterAction_sneg,0.5792219,0.75878423,-0.17956233,0.3934044156163133
ten-proofs,integerLowerShear_inv_action_zero,0.6753254,0.6586042,0.016721189,0.13325688599818886
ten-proofs,torusShearTpos_apply,0.697693,0.74765444,-0.049961448,0.0
ten-proofs,torusShearTneg_symm,0.7626404,0.7452123,0.0174281,0.0
ten-proofs,shalomSpectralSector_spos_inclusion,0.6077042,0.6897185,-0.08201426,0.6816052256748327
